pl_name,hostname,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,st_teff,st_rad,st_mass
11 Com b,11 Com,Radial Velocity,323.21,1.178,12.2,,4874,13.76,2.09
11 UMi b,11 UMi,Radial Velocity,516.21997,1.53,12.3,,4213,29.79,2.78
14 And b,14 And,Radial Velocity,186.76,0.775,13.1,,4888,11.55,1.78
14 Her b,14 Her,Radial Velocity,1765.0389,2.774,12.6,,5338,0.93,0.91
16 Cyg B b,16 Cyg B,Radial Velocity,798.5,1.66,13.5,,5750,1.13,1.08
17 Sco b,17 Sco,Radial Velocity,578.38,1.45,12.9,,4157,25.92,1.22
18 Del b,18 Del,Radial Velocity,982.85,2.476,12.5,,4980,8.8,2.1
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,,330,18.647,1700,4060,1.31316,0.85
24 Boo b,24 Boo,Radial Velocity,30.33,0.194,13.9,,4816,12.19,1.05
24 Sex b,24 Sex,Radial Velocity,452.8,1.333,13.4,,5098,4.9,1.54
24 Sex c,24 Sex,Radial Velocity,883,2.08,13.9,,5098,4.9,1.54
2M0437 b,2MASS J04372171+2651014,Imaging,,118,13,1450,3100,0.84,0.17
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,,84,12.3,,,,0.19
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,,52,11.209,1600,3530,0.36645,0.4
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,,156,16.14096,,3064,0.281,0.108
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,,1950,12.4,,2859,0.315959,0.046
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,,572,12.2,2369,2943,0.289776,0.264996
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,,15,12.6,,2936,0.231916,0.019
2MASS J11011926-7732383 b,2MASS J11011926-7732383,Imaging,,266,11.9,2677,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,Imaging,,587,12.1,2506,3021,0.600455,0.58846
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,,55,12.9,1250,2825,0.21887,0.024
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,406,0.92,13.4,,29564,0.203,0.48
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Imaging,,7493,12.4,1616,3592,0.672832,0.643977
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,,230,12.3,,4045,0.641152,0.6
2MASS J22501512+2325342 b,2MASS J22501512+2325342,Imaging,,518,11.9,1600,3352,0.437589,0.433173
4 UMa b,4 UMa,Radial Velocity,270.27,0.877,12.6,,4415,18.11,1.234
47 UMa b,47 UMa,Radial Velocity,1078,2.1,13.2,,5872,1.21334,1.06
47 UMa c,47 UMa,Radial Velocity,2391,3.6,14.2,,5872,1.21334,1.06
47 UMa d,47 UMa,Radial Velocity,14002.00000000000,11.6,13.5,,5872,1.21334,1.06
51 Eri b,51 Eri,Imaging,9100,10.4,,700,7295,1.48726,1.75
51 Peg b,51 Peg,Radial Velocity,4.230785,0.0527,14.3,,5758,1.17561,1.03
55 Cnc B b,55 Cnc B,Radial Velocity,6.7994,0.044,1.69,,3286,0.274,0.26
55 Cnc B c,55 Cnc B,Radial Velocity,33.747,0.13,2.16,,3286,0.274,0.26
55 Cnc b,55 Cnc,Radial Velocity,14.651552,0.118,13.9,700,5198,0.98,1.015
55 Cnc c,55 Cnc,Radial Velocity,44.3936,0.247,8.51,,5198,0.98,1.015
55 Cnc d,55 Cnc,Radial Velocity,4799,5.6,13,,5198,0.98,1.015
55 Cnc e,55 Cnc,Radial Velocity,0.7365474,0.01544,1.875,1958,5172,0.943,0.905
55 Cnc f,55 Cnc,Radial Velocity,260.58,0.802,7.59,,5198,0.98,1.015
6 Lyn b,6 Lyn,Radial Velocity,919.86,2.028,13.4,,4941,4.94,1.32
61 Vir b,61 Vir,Radial Velocity,4.215,0.050201,2.11,,5577,0.963,0.942
61 Vir c,61 Vir,Radial Velocity,38.021,0.2175,4.46,,5577,0.963,0.942
61 Vir d,61 Vir,Radial Velocity,123.01,0.476,5.11,,5577,0.963,0.942
7 CMa b,7 CMa,Radial Velocity,735.1,1.758,13.4,,4826,4.87,1.34
7 CMa c,7 CMa,Radial Velocity,996,2.153,13.9,,4826,4.87,1.34
70 Vir b,70 Vir,Radial Velocity,116.688,0.481,12.6,,5495,1.89,1.09
75 Cet b,75 Cet,Radial Velocity,696.62,1.912,13.3,,4809,10.38,1.92
75 Cet c,75 Cet,Radial Velocity,2051.62,3.929,13.9,,4809,10.38,1.92
8 UMi b,8 UMi,Radial Velocity,93.31,0.462,13.5,,4847,10.73,1.51
81 Cet b,81 Cet,Radial Velocity,1005.57,2.104,13.1,,4734,11.21,1.23
91 Aqr b,91 Aqr,Radial Velocity,181.4,0.7,13.1,,4665,11,1.4
AB Aur b,AB Aur,Imaging,,93.9,12.5,,9770,2.95887,2.4
AB Pic b,AB Pic,Imaging,,260,12.3,,5285,0.999394,0.9
AF Lep b,AF Lep,Imaging,8905,8.996,13,1400,6140,1.25,1.218
AT2021ueyL b,AT2021ueyL,Microlensing,4168.69,4.01,13.6,,3680,,0.49
AU Mic b,AU Mic,Transit,8.46308,0.0649,3.95677019,600,3678,0.744,0.51
AU Mic c,AU Mic,Transit,18.85969,0.1108,2.52202066,459,3678,0.744,0.51
AU Mic d,AU Mic,Transit Timing Variations,12.73596,,1.02,,3678,0.744,0.51
AU Mic e,AU Mic,Radial Velocity,33.11,,4.87,,3665,0.82,0.6
BD+03 2562 b,BD+03 2562,Radial Velocity,481.9,1.3,12.7,,4095,32.35,1.14
BD+05 4868 A b,BD+05 4868 A,Transit,1.271869,0.0208,,1820,4596,0.69,0.7
BD+14 4559 b,BD+14 4559,Radial Velocity,268.94,0.78,13.8,,4864,0.86,0.49
BD+15 2375 b,BD+15 2375,Radial Velocity,153.22,0.576,13.8,,4649,8.95,1.08
BD+15 2940 b,BD+15 2940,Radial Velocity,137.48,0.539,13.7,,4796,14.7,1.1
BD+20 2457 b,BD+20 2457,Radial Velocity,379.63,1.45,12.1,,4137,49,2.8
BD+20 2457 c,BD+20 2457,Radial Velocity,621.99,2.01,12.4,,4137,49,2.8
BD+20 274 b,BD+20 274,Radial Velocity,578.2,1.3,13,,4296,17.3,0.8
BD+20 594 b,BD+20 594,Transit,41.6855,0.241,2.57807,546,5766,1.08,1.67
BD+37 3172 b,BD+37 3172,Radial Velocity,1887.76,4.65,12.4,,4500,50.24,3.75
BD+42 2315 b,BD+42 2315,Radial Velocity,123.05,0.54,14.2,,4500,17.85,1.38
BD+45 564 b,BD+45 564,Radial Velocity,307.88,0.83,13.6,,5004,0.813064,0.81
BD+48 738 b,BD+48 738,Radial Velocity,392.6,1,13.9,,4414,11,0.74
BD+48 740 b,BD+48 740,Radial Velocity,733,1.7,13.5,,4534,10.33,1.09
BD+49 828 b,BD+49 828,Radial Velocity,2590,4.2,13.5,,4943,7.6,1.52
BD+55 362 b,BD+55 362,Radial Velocity,265.59,0.78,14,,5012,0.896193,0.909
BD+60 1417 b,BD+60 1417,Imaging,,1662,14.68376472,1303,4993,0.797,1
BD+63 1405 b,BD+63 1405,Radial Velocity,1198.48,2.06,12.4,,5000,0.804724,0.816
BD-06 1339 b,BD-06 1339,Radial Velocity,3.8728,0.0428,,,4324,0.686355,0.7
BD-06 1339 c,BD-06 1339,Radial Velocity,125.94,0.435,8.38,,4324,0.686355,0.7
BD-08 2823 b,BD-08 2823,Radial Velocity,5.6,0.06,,,4816,0.71,0.5
BD-08 2823 c,BD-08 2823,Radial Velocity,237.6,0.68,12.5,,4746,0.71,0.74
BD-10 3166 b,BD-10 3166,Radial Velocity,3.48777,0.04,14.1,,5393,0.91,1.47
BD-11 4672 b,BD-11 4672,Radial Velocity,1634,2.36,14.1,,4550,0.639,0.651
BD-11 4672 c,BD-11 4672,Radial Velocity,74.2,0.3,4.04,,4550,0.639,0.651
BD-13 2130 b,BD-13 2130,Radial Velocity,714.29999,1.66,12.5,,4545,19.17,2.12
BD-14 3065 b,BD-14 3065 A,Transit,4.2889731,0.0656,21.59,2001,6935,2.35,1.41
BD-17 63 b,BD-17 63,Radial Velocity,655.57,1.34,12.8,,4714,0.74,0.741
BD-210397 b,BD-210397,Radial Velocity,1891,2.63,14,,4051,0.747,0.679
BD-210397 c,BD-210397,Radial Velocity,6240,5.9,12.9,,4051,0.747,0.69
BEBOP-3 b,BEBOP-3,Radial Velocity,547,1.444,14.2,,6033,1.414,1.083
BEBOP-4 AB b,BEBOP-4 A,Radial Velocity,1823.5,3.634,,,5701.43,2.75645,1.507
Barnard b,Barnard's star,Radial Velocity,3.1542,0.0229,0.72,438,3195,0.185,0.162
Barnard c,Barnard's star,Radial Velocity,4.1244,0.0274,0.743,400,3195,0.185,0.162
Barnard d,Barnard's star,Radial Velocity,2.3402,0.0188,0.694,483,3195,0.185,0.162
Barnard e,Barnard's star,Radial Velocity,6.7392,0.0381,0.637,340,3195,0.185,0.162
CD Cet b,CD Cet,Radial Velocity,2.2907,0.0185,1.82,464,3130,0.175,0.161
CD-35 2722 b,CD-35 2722,Imaging,,67,17.37392009,1800,3689,0.558549,0.4
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,Imaging,10037.50000000000,2.6,12.4,370,580.5,,0.021
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,Imaging,8040000.00000000000,200,20.8487041,1800,2320,0.245,0.0147
CHXR 73 b,CHXR 73,Imaging,,210,12.3,,3099,,0.35
CI Tau c,CI Tau,Radial Velocity,25.2,0.17,13,,3807,1.880857,0.9
COCONUTS-2 b,COCONUTS-2 A,Imaging,402000000.00000000000,7506,12.44196858,434,3406,0.388,0.37
CT Cha b,CT Cha,Imaging,,440,24.66,2600,4403,1.679694,
CoRoT-1 b,CoRoT-1,Transit,1.5089557,0.02752,16.7,1898,5950,1.11,0.95
CoRoT-10 b,CoRoT-10,Transit,13.2406,0.1055,10.87,600,5075,0.79,0.89
CoRoT-11 b,CoRoT-11,Transit,2.99433,0.0436,16.03,1657,6440,1.37,1.27
CoRoT-12 b,CoRoT-12,Transit,2.828042,0.04016,16.14,1442,5675,1.116,1.078
CoRoT-13 b,CoRoT-13,Transit,4.03519,0.051,9.92,1700,5945,1.01,1.09
CoRoT-14 b,CoRoT-14,Transit,1.51214,0.027,12.22,1952,6035,1.21,1.13
CoRoT-16 b,CoRoT-16,Transit,5.35227,0.0618,13.11,,5650,1.19,1.098
CoRoT-17 b,CoRoT-17,Transit,3.7681,0.0461,11.43,1626,5740,1.59,1.04
CoRoT-18 b,CoRoT-18,Transit,1.9000693,0.0295,14.68,1550,5440,1,0.95
CoRoT-19 b,CoRoT-19,Transit,3.89713,0.0518,14.46,2000,6090,1.65,1.21
CoRoT-2 b,CoRoT-2,Transit,1.7429935,0.02798,16.432,1521,5625,0.906,0.96
CoRoT-20 b,CoRoT-20,Transit,9.24285,0.09,9.41556,1024,5880,1.02,1.14
CoRoT-20 c,CoRoT-20,Radial Velocity,1675,2.9,12.2,,5880,1.02,1.14
CoRoT-21 b,CoRoT-21,Transit,2.72474,0.0417,14.5717,,6200,1.95,1.29
CoRoT-22 b,CoRoT-22,Transit,9.75598,0.092,4.88,885,5939,1.136,1.099
CoRoT-23 b,CoRoT-23,Transit,3.6313,0.048,11.77,1660,5900,1.61,1.14
CoRoT-24 b,CoRoT-24,Transit,5.1134,0.056,3.7,1070,4950,0.86,0.91
CoRoT-24 c,CoRoT-24,Transit,11.759,0.098,5,850,4950,0.86,0.91
CoRoT-25 b,CoRoT-25,Transit,4.86069,0.0578,12.11,1330,6040,1.19,1.09
CoRoT-26 b,CoRoT-26,Transit,4.20474,0.0526,14.12,1600,5590,1.79,1.09
CoRoT-27 b,CoRoT-27,Transit,3.57532,0.0476,11.287,1500,5900,1.08,1.05
CoRoT-28 b,CoRoT-28,Transit,5.20851,0.0603,10.704595,,5150,1.78,1.01
CoRoT-29 b,CoRoT-29,Transit,2.85057,0.0386,10.0881,,5260,0.9,0.97
CoRoT-3 b,CoRoT-3,Transit,4.2568,0.05783,11.32,1695,6740,1.56,1.37
CoRoT-30 b,CoRoT-30,Transit,9.06005,0.0844,11.309881,,5650,0.91,0.98
CoRoT-31 b,CoRoT-31,Transit,4.62941,0.0586,16.36514,,5700,2.15,1.25
CoRoT-32 b,CoRoT-32,Transit,6.71837,0.071,6.38913,938,5970,0.79,1.08
CoRoT-35 b,CoRoT-35,Transit,3.22748,0.0429,18.83108758,1747,6390,1.65,1.01
CoRoT-36 b,CoRoT-36,Transit,5.616531,0.066,15.80466279,1567,6730,1.52,1.32
CoRoT-4 b,CoRoT-4,Transit,9.20205,0.09,13.34,1074,6190,1.17,1.16
CoRoT-5 b,CoRoT-5,Transit,4.0378962,0.04947,15.558,1438,6100,1.186,1
CoRoT-6 b,CoRoT-6,Transit,8.886593,0.0855,13.068,1017,6090,1.025,1.05
CoRoT-7 b,CoRoT-7,Transit,0.85359163,0.017016,1.68135,1756,5275,0.83,0.82
CoRoT-7 c,CoRoT-7,Radial Velocity,3.698,0.046,2.83,,5256,0.864273,0.899
CoRoT-7 d,CoRoT-7,Radial Velocity,8.966,,4.31,,5250,0.8389,0.915
CoRoT-8 b,CoRoT-8,Transit,6.21229,0.063,6.39,870,5080,0.77,0.88
CoRoT-9 b,CoRoT-9,Transit,95.272656,0.4021,11.948794,420,5625,0.96,0.96
DE CVn b,DE CVn,Eclipse Timing Variations,4098.1,5.75,12.4,,3579,0.424754,0.51
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,Astrometry,246.36,0.36,11.9,,,,0.075
DH Tau b,DH Tau,Imaging,,330,30.2643,2200,4371,0.27,0.33
DMPP-1 b,DMPP-1,Radial Velocity,18.57,0.1462,5.29,877,6196,1.26,1.21
DMPP-1 c,DMPP-1,Radial Velocity,6.584,0.0733,3.06,1239,6196,1.26,1.21
DMPP-1 d,DMPP-1,Radial Velocity,2.882,0.0422,1.65,1632,6196,1.26,1.21
DMPP-1 e,DMPP-1,Radial Velocity,5.516,0.0651,1.86,1314,6196,1.26,1.21
DMPP-2 b,DMPP-2,Radial Velocity,5.2072,0.0664,14.3,1000,6500,1.78,1.44
DMPP-3 A b,DMPP-3 A,Radial Velocity,6.6732,0.0662,1.41,854,5138,0.91,0.87
DMPP-4 b,DMPP-4,Radial Velocity,3.4982,0.04853,3.53,,6400,1.38,1.25
DP Leo b,DP Leo,Eclipse Timing Variations,10220.00000000000,8.19,12.7,,13500,0.0115,0.69
DS Tuc A b,DS Tuc A,Transit,8.138268,,5.7,850,5428,0.964,1.01
EPIC 201170410.02,EPIC 201170410,Transit,6.7987,0.0349,1.047,,3648,0.282,0.287
EPIC 201238110 b,EPIC 201238110,Transit,28.1656,,1.87,,3587,0.374,0.41
EPIC 201427007 b,EPIC 201427007,Transit,0.72091,,1.5,,5633,0.94,0.93
EPIC 201497682 b,EPIC 201497682,Transit,2.13174,,0.692,,4991,0.554,0.78
EPIC 201595106 b,EPIC 201595106,Transit,0.87724,0.0177,1.565,2038,5679,0.98,0.958
EPIC 201615463 c,K2-166,Transit,3.80464,,1.22,,5960,1.61,1.073
EPIC 201754305 d,K2-16,Transit,2.71578,,1.03,,4761,0.544,0.67
EPIC 201757695.02,EPIC 201757695,Transit,2.0478,0.0296,0.90819,,4520,0.655,0.727
EPIC 201833600 c,K2-50,Transit,3.96151,,1,,4326,0.634,0.611
EPIC 201841433 b,EPIC 201841433,Transit,4.1698,0.035,1.04,,5053,0.628461,0.802
EPIC 205950854 c,K2-168,Transit,8.050722,,1.31,960.6,5502.7,0.83,0.877
EPIC 206024342 b,EPIC 206024342,Transit,4.50756,,1.7,,5724,0.823,0.928
EPIC 206024342 c,EPIC 206024342,Transit,0.911724,,1.4,,5724,1.1,0.928
EPIC 206024342 d,EPIC 206024342,Transit,14.647531,,2.6,,5724,1.1,0.928
EPIC 206032309 b,EPIC 206032309,Transit,2.87814,,1.01,,3489,0.37344,0.221
EPIC 206042996 b,EPIC 206042996,Transit,5.2986,,1.7,,4114,0.5,0.565
EPIC 206042996 c,EPIC 206042996,Transit,0.354884,,1.2,,4114,0.5,0.565
EPIC 206215704 b,EPIC 206215704,Transit,2.255436,,1,,3297,0.25,0.407
EPIC 206317286 b,EPIC 206317286,Transit,1.58252,,0.96,,4752,0.669,0.711
EPIC 206317286 c,EPIC 206317286,Transit,17.515472,,2.094,,4752,0.758,0.832
EPIC 211822797 b,EPIC 211822797,Transit,21.1701963,0.1195,1.92,431,4057,0.58,0.62
EPIC 211945201 b,EPIC 211945201,Transit,19.49221,0.1493,5.76,817,6069,1.39,1.17
EPIC 212297394 b,EPIC 212297394,Transit,2.289363,,1.48,1149,5171,0.8,0.83
EPIC 212297394 c,EPIC 212297394,Transit,5.213965,,2.27,866,5171,0.8,0.83
EPIC 212424622 b,EPIC 212424622,Transit,18.0983,,2.17,,5782.33,1.2247,1.106
EPIC 212499991 b,EPIC 212499991,Transit,34.885,,1.6,,4982.79,0.757541,0.912
EPIC 212587672 b,EPIC 212587672,Transit,15.28078,,1.26,756,6004,0.98,0.99
EPIC 212587672 c,EPIC 212587672,Transit,23.228555,,2.32,658,6004,0.98,0.99
EPIC 212624936 b,EPIC 212624936,Transit,0.578657,,1.2,,5765,0.93,1
EPIC 212624936 c,EPIC 212624936,Transit,11.811437,,2.3,,5765,0.93,1
EPIC 212737443 b,EPIC 212737443,Transit,13.603,0.098,2.586,536,4684,0.673,0.69
EPIC 212737443 c,EPIC 212737443,Transit,65.55,0.28,2.69,316,4684,0.673,0.69
EPIC 220492298 b,EPIC 220492298,Transit,0.762406,,0.99,,5620,0.89,0.95
EPIC 220554210 c,K2-282,Transit,0.70531,,1.6,,5499,1,0.94
EPIC 220674823 b,EPIC 220674823,Transit,0.5713127,0.01314,1.676,2299,5578,0.99,0.913
EPIC 220674823 c,EPIC 220674823,Transit,13.33989,0.1073,2.84,804,5578,0.99,0.913
EPIC 228836835 b,EPIC 228836835,Transit,0.728113,,1.1,932,3782,0.32,0.418179
EPIC 229004835 b,EPIC 229004835,Transit,16.141132,0.1237,2.332,804,5868,0.999,0.97
EPIC 246851721 b,EPIC 246851721,Transit,6.180235,0.07229,11.780659,1401,6202,1.586,1.317
EPIC 248847494 b,EPIC 248847494,Transit,3650,4.5,12.44199,183,4898,2.7,0.9
EPIC 249893012 b,EPIC 249893012,Transit,3.5951,0.047,1.95,1616,5430,1.71,1.05
EPIC 249893012 c,EPIC 249893012,Transit,15.624,0.13,3.67,990,5430,1.71,1.05
EPIC 249893012 d,EPIC 249893012,Transit,35.747,0.22,3.94,752,5430,1.71,1.05
FU Tau b,FU Tau,Imaging,,800,12.2,2375,2838,,0.05
G 192-15 b,G 192-15,Radial Velocity,2.27476,0.01723,1.02,453.6,2999,0.170718,0.132
G 192-15 c,G 192-15,Radial Velocity,1219,1.137,3.87,55.9,2999,0.170718,0.132
G 196-3 b,G 196-3,Imaging,,350,12,1670,3517,0.522432,0.519782
G 261-6 b,G 261-6,Radial Velocity,5.4536,0.02971,1.1,322.3,2907,0.153162,0.118
G 264-012 b,G 264-012,Radial Velocity,2.30538,0.02279,1.39,587,3326,0.305,0.297
G 264-012 c,G 264-012,Radial Velocity,8.0518,0.0525,1.76,387,3326,0.305,0.297
G 268-110 b,G 268-110,Radial Velocity,1.43263,0.01283,1.13,534,,0.177,0.137
G 9-40 b,G 9-40,Transit,5.7459982,0.0418,1.9,440.6,3395,0.3026,0.2952
GJ 1002 b,GJ 1002,Radial Velocity,10.3465,0.0457,1.03,230.9,3024,0.137,0.12
GJ 1002 c,GJ 1002,Radial Velocity,21.202,0.0738,1.1,181.7,3024,0.137,0.12
GJ 1061 b,GJ 1061,Radial Velocity,3.204,0.021,1.1,,2953,0.156,0.12
GJ 1061 c,GJ 1061,Radial Velocity,6.689,0.035,1.18,,2953,0.156,0.12
GJ 1061 d,GJ 1061,Radial Velocity,13.031,0.054,1.16,,2953,0.156,0.12
GJ 1132 b,GJ 1132,Transit,1.62892911,0.0157,1.19151465,583.8,3229,0.2211,0.1945
GJ 1132 c,GJ 1132,Radial Velocity,8.929,0.0476,1.43,300,3270,0.2105,0.181
GJ 1148 b,GJ 1148,Radial Velocity,41.38,0.166,11.9,,3287,0.358519,0.344045
GJ 1148 c,GJ 1148,Radial Velocity,532.58,0.912,9.71,,3287,0.358519,0.344045
GJ 1151 c,GJ 1151,Radial Velocity,389.7,0.5714,3.25,,3280,0.1781,0.1639
GJ 1214 b,GJ 1214,Transit,1.580404531,0.01505,2.733,567,3101,0.2162,0.182
GJ 1252 b,GJ 1252,Transit,0.5182331,0.00915,1.193,1089,3458,0.391,0.381
GJ 1265 b,GJ 1265,Radial Velocity,3.6511,0.026,2.63,,3236,0.192,0.178
GJ 1289 b,GJ 1289,Radial Velocity,111.74,0.27,2.38,150,3296,0.245012,0.21
GJ 143 b,GJ 143,Transit,35.61253,0.1915,2.61,422,4640,0.695,0.73
GJ 15 A b,GJ 15 A,Radial Velocity,11.4407,0.072,1.55,550,3607,0.38,0.38
GJ 15 A c,GJ 15 A,Radial Velocity,7600,5.4,6.67,,3607,0.38,0.38
GJ 160.2 b,GJ 160.2,Radial Velocity,5.2354,0.053,3.17,,4347,0.655173,0.69
GJ 163 b,GJ 163,Radial Velocity,8.63182,0.0607,3.25,,3500,0.409738,0.4
GJ 163 c,GJ 163,Radial Velocity,25.63058,0.1254,2.5,,3500,0.409738,0.4
GJ 163 d,GJ 163,Radial Velocity,603.95116,1.0304,5.92,,3500,0.409738,0.4
GJ 179 b,GJ 179,Radial Velocity,2288,2.41,13.8,,3370,0.38,0.357
GJ 180 b,GJ 180,Radial Velocity,17.133,0.092,2.43,,3371,0.413049,0.43
GJ 180 c,GJ 180,Radial Velocity,24.329,0.129,2.41,,3371,0.413049,0.43
GJ 180 d,GJ 180,Radial Velocity,106.3,0.309,2.66,,3371,0.413049,0.43
GJ 2030 b,GJ 2030,Radial Velocity,2.38129,0.034,2.03,,5485,2.24104,0.96
GJ 2030 c,GJ 2030,Radial Velocity,25533.11353000000,16.761,12.3,,5485,2.24104,0.96
GJ 2056 b,GJ 2056,Radial Velocity,69.971,0.283,4.17,,4069.95,0.709495,0.62
GJ 2126 b,GJ 2126,Radial Velocity,272.7,0.71,13.6,,4159,0.728,0.65
GJ 229 A c,GJ 229,Radial Velocity,121.93268,0.384,2.87,,3564,0.46,0.509
GJ 229 b,GJ 229,Radial Velocity,579.47495,1.086,3.97,,3564,0.46,0.509
GJ 238 b,GJ 238,Transit,1.7446999,0.02123,0.566,758,3485,0.4314,0.4193
GJ 251 b,GJ 251,Radial Velocity,14.237,0.0808,1.79,336,3342,0.36,0.35
GJ 251 c,GJ 251,Radial Velocity,53.647,0.196,1.8,216,3342,0.36,0.35
GJ 27.1 b,GJ 27.1,Radial Velocity,15.819,0.101,3.66,,3542,0.518887,0.53
GJ 273 b,GJ 273,Radial Velocity,18.6498,0.091101,1.51,,3382,0.293,0.29
GJ 273 c,GJ 273,Radial Velocity,4.7234,0.036467,1.06,,3382,0.293,0.29
GJ 3021 b,GJ 3021,Radial Velocity,133.71,0.49,13.1,350,5540,0.9,0.9
GJ 3082 b,GJ 3082,Radial Velocity,11.949,0.079,2.79,,3910,0.465216,0.47
GJ 3090 b,GJ 3090,Transit,2.8531054,0.03165,2.13,693,3556,0.516,0.519
GJ 3138 b,GJ 3138,Radial Velocity,1.22003,0.0197,1.18,,3717,0.5,0.681
GJ 3138 c,GJ 3138,Radial Velocity,5.974,0.057,1.88,,3717,0.5,0.681
GJ 3138 d,GJ 3138,Radial Velocity,257.8,0.698,3.23,,3717,0.5,0.681
GJ 317 b,GJ 317,Radial Velocity,695.69,1.138,13.3,,3496,0.403,0.402
GJ 317 c,GJ 317,Radial Velocity,6500,5.04,13.6,,3496,0.403,0.402
GJ 3222 b,GJ 3222,Radial Velocity,10.66669,0.091,3.4,,5257.46,0.931389,0.89
GJ 328 b,GJ 328,Radial Velocity,3771,4.11,13.3,,3897,0.63,0.65
GJ 328 c,GJ 328,Radial Velocity,241.8,0.657,4.91,,3897,0.63,0.65
GJ 3293 b,GJ 3293,Radial Velocity,30.5987,0.14339,5.19,,3466,0.404,0.42
GJ 3293 c,GJ 3293,Radial Velocity,122.6196,0.36175,4.87,,3466,0.404,0.42
GJ 3293 d,GJ 3293,Radial Velocity,48.1345,0.19394,2.67,,3466,0.404,0.42
GJ 3293 e,GJ 3293,Radial Velocity,13.2543,0.08208,1.63,,3466,0.404,0.42
GJ 3323 b,GJ 3323,Radial Velocity,5.3636,0.03282,1.23,,3159,0.119,0.164
GJ 3323 c,GJ 3323,Radial Velocity,40.54,0.1264,1.32,,3159,0.119,0.164
GJ 3341 b,GJ 3341,Radial Velocity,14.207,0.089,2.46,,3526,0.439,0.47
GJ 338 B b,GJ 338 B,Radial Velocity,24.422,0.142,3.25,391,4014,0.58,0.64
GJ 341 b,GJ 341,Transit,7.57686,,0.88,629,3770,0.5066,0.48
GJ 3470 b,GJ 3470,Radial Velocity,3.3366496,0.0355,4.57,593.5,3600,0.547,0.539
GJ 3473 b,GJ 3473,Transit,1.1980035,0.01589,1.264,773,3347,0.364,0.36
GJ 3473 c,GJ 3473,Radial Velocity,15.509,0.0876,2.63,329.1,3347,0.364,0.36
GJ 3512 b,GJ 3512,Radial Velocity,203.109,0.3376,14.3,,3141,0.139,0.123
GJ 3512 c,GJ 3512,Radial Velocity,2354,1.731,14.3,,3141,0.139,0.123
GJ 357 b,GJ 357,Transit,3.9306,0.036,1.2,518,3505,0.337,0.342
GJ 357 c,GJ 357,Radial Velocity,9.1247,0.061,1.66,401.2,3505,0.337,0.342
GJ 357 d,GJ 357,Radial Velocity,55.661,0.204,2.34,219.6,3505,0.337,0.342
GJ 3634 b,GJ 3634,Radial Velocity,2.64561,0.0287,2.83,,3517,0.43,0.45
GJ 367 b,GJ 367,Transit,0.3219225,0.00709,0.699,1365,3522,0.458,0.455
GJ 367 c,GJ 367,Radial Velocity,11.5301,,1.86,,3522,0.458,0.455
GJ 367 d,GJ 367,Radial Velocity,34.369,,2.33,,3522,0.458,0.455
GJ 3779 b,GJ 3779,Radial Velocity,3.0232,0.026,2.75,,3324,0.281,0.27
GJ 3929 b,GJ 3929,Transit,2.616235,0.0252,1.09,568,3384,0.32,0.313
GJ 3929 c,GJ 3929,Radial Velocity,15.04,0.081,2.26,317,3384,0.32,0.313
GJ 393 b,GJ 393,Radial Velocity,7.02679,0.05402,1.17,485,3579,0.426,0.426
GJ 3942 b,GJ 3942,Radial Velocity,6.905,0.0608,2.57,590,3867,0.61,0.63
GJ 3988 b,GJ 3988,Radial Velocity,6.9442,0.0405,1.74,348,3273,0.19734,0.1842
GJ 3998 b,GJ 3998,Radial Velocity,2.65033,0.03,1.39,,3726,0.5,0.52
GJ 3998 c,GJ 3998,Radial Velocity,13.727,0.09,2.5,,3726,0.5,0.52
GJ 3998 d,GJ 3998,Radial Velocity,41.78,0.189,2.34,,3726,0.5,0.52
GJ 411 b,GJ 411,Radial Velocity,12.9394,0.07879,1.45,349.83,3719,0.3685,0.3899
GJ 414 A b,GJ 414 A,Radial Velocity,50.8,0.2324,2.63,308.6,4120,0.68,0.65
GJ 414 A c,GJ 414 A,Radial Velocity,749.83,1.4,8.4,124.7,4120,0.68,0.65
GJ 422 b,GJ 422,Radial Velocity,20.129,0.111,3.33,,3323,0.370328,0.35
GJ 4276 b,GJ 4276,Radial Velocity,13.352,0.082,4.22,,3387,0.407,0.406
GJ 433 b,GJ 433,Radial Velocity,7.3705,0.062,2.33,,3461,0.5,0.48
