pl_name,hostname,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,st_teff,st_rad,st_mass
HIP 948 b,HIP 948,Radial Velocity,24955.45756000000,15.037,12.1,,4497,0.688488,0.71
HIP 9618 b,HIP 9618,Transit,20.772858,0.145,3.82838127,640.88,5649,0.9593,0.942
HIP 9618 c,HIP 9618,Transit,52.56363,0.269,3.42855926,470.31,5649,0.9593,0.942
HIP 97166 b,HIP 97166,Transit,10.288914,0.091,2.4801338,701.66,5216,0.8418,0.9342
HIP 97166 c,HIP 97166,Radial Velocity,16.432,0.124,2.75,642,5216,0.8418,0.9342
HIP 97233 b,HIP 97233,Radial Velocity,1062.26506,2.491,12.1,,5020,5.34,1.81
HIP 99770 b,HIP 99770,Imaging,18600.00000000000,16.9,12.2,,8000,1.93986,1.85
HN Lib b,HN Lib,Radial Velocity,36.116,0.1417,2.2,234.4,3347,0.299,0.291
HN Peg b,HN Peg,Imaging,,773,11.7768,,6186,1.006954,1.08
HR 2562 b,HR 2562,Imaging,,27,12.44199,1255,6597,1.334,1.368
HR 5183 b,HR 5183,Radial Velocity,27000.00000000000,18,13.1,171,5794,1.53,1.07
HR 810 b,HR 810,Radial Velocity,302.79999,0.92,12.7,,6167,1.13,1.34
HR 858 b,HR 858,Transit,3.585287,0.04888,2.004,1552,6354,1.258,1.204
HR 858 c,HR 858,Transit,5.973865,0.0687,1.979,1309,6354,1.258,1.204
HR 858 d,HR 858,Transit,11.230511,0.1046,2.001,1061,6354,1.258,1.204
HR 8799 b,HR 8799,Imaging,170000.00000000000,68,13,1200,7204.58,1.49338,1.5
HR 8799 c,HR 8799,Imaging,69000.00000000000,38,13,1200,7204.58,1.49338,1.5
HR 8799 d,HR 8799,Imaging,37000.00000000000,24,13,1300,7204.58,1.49338,1.5
HR 8799 e,HR 8799,Imaging,20815.60000000000,16.4,13.11453,1150,7400,1.49338,1.51
HS Psc b,HS Psc,Radial Velocity,3.986,0.0435,13.6,,4203,0.65,0.69
HU Aqr AB b,HU Aqr,Eclipse Timing Variations,2390,3.6,12.8,,5952,,0.88
